,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Sigma - kF (MeV),Lambda kF (MeV),Sigma 0 kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Sigma - frac,Lambda frac,Sigma 0 frac
0,0.27000000,7.94119300,-2.24796206,4.51473004,0.00000000,210.42693751,43.23831422,43.23831422,0.00000000,0.00000000,0.00000000,0.00000000,0.99139896,0.00860104,0.00860104,0.00000000,0.00000000,0.00000000,0.00000000
1,0.28000000,8.19909932,-2.32905019,4.68194226,-0.00000000,212.96061440,44.52804919,44.52804919,0.00000000,0.00000000,0.00000000,0.00000000,0.99094161,0.00905839,0.00905839,0.00000000,0.00000000,0.00000000,0.00000000
2,0.29000000,8.45503031,-2.40994881,4.84915449,-0.00000000,215.43260018,45.80903280,45.80903280,0.00000000,0.00000000,0.00000000,0.00000000,0.99047722,0.00952278,0.00952278,0.00000000,0.00000000,0.00000000,0.00000000
3,0.30000000,8.70902968,-2.49065538,5.01636671,-0.00000000,217.84635039,47.08153434,47.08153434,0.00000000,0.00000000,0.00000000,0.00000000,0.99000601,0.00999399,0.00999399,0.00000000,0.00000000,0.00000000,0.00000000
4,0.31000000,8.96113950,-2.57116740,5.18357893,-0.00000000,220.20501768,48.34580113,48.34580113,0.00000000,0.00000000,0.00000000,0.00000000,0.98952816,0.01047184,0.01047184,0.00000000,0.00000000,0.00000000,0.00000000
5,0.32000000,9.21140024,-2.65148252,5.35079116,0.00000000,222.51148730,49.60206098,49.60206098,0.00000000,0.00000000,0.00000000,0.00000000,0.98904386,0.01095614,0.01095614,0.00000000,0.00000000,0.00000000,0.00000000
6,0.33000000,9.45985090,-2.73159847,5.51800338,-0.00000000,224.76840743,50.85052437,50.85052437,0.00000000,0.00000000,0.00000000,0.00000000,0.98855329,0.01144671,0.01144671,0.00000000,0.00000000,0.00000000,0.00000000
7,0.34000000,9.70652907,-2.81151306,5.68521561,-0.00000000,226.97821524,52.09138630,52.09138630,0.00000000,0.00000000,0.00000000,0.00000000,0.98805663,0.01194337,0.01194337,0.00000000,0.00000000,0.00000000,0.00000000
8,0.35000000,9.95147099,-2.89122424,5.85242783,0.00000000,229.14315948,53.32482789,53.32482789,0.00000000,0.00000000,0.00000000,0.00000000,0.98755404,0.01244596,0.01244596,0.00000000,0.00000000,0.00000000,0.00000000
9,0.36000000,10.19471164,-2.97072999,6.01964005,-0.00000000,231.26532001,54.55101782,54.55101782,0.00000000,0.00000000,0.00000000,0.00000000,0.98704569,0.01295431,0.01295431,0.00000000,0.00000000,0.00000000,0.00000000
10,0.37000000,10.43628476,-3.05002844,6.18685228,-0.00000000,233.34662485,55.77011355,55.77011355,0.00000000,0.00000000,0.00000000,0.00000000,0.98653175,0.01346825,0.01346825,0.00000000,0.00000000,0.00000000,0.00000000
11,0.38000000,10.67622296,-3.12911777,6.35406450,0.00000000,235.38886508,56.98226243,56.98226243,0.00000000,0.00000000,0.00000000,0.00000000,0.98601238,0.01398762,0.01398762,0.00000000,0.00000000,0.00000000,0.00000000
12,0.39000000,10.91455775,-3.20799625,6.52127672,-0.00000000,237.39370800,58.18760264,58.18760264,0.00000000,0.00000000,0.00000000,0.00000000,0.98548774,0.01451226,0.01451226,0.00000000,0.00000000,0.00000000,0.00000000
13,0.40000000,11.15131958,-3.28666224,6.68848895,-0.00000000,239.36270858,59.38626405,59.38626405,0.00000000,0.00000000,0.00000000,0.00000000,0.98495798,0.01504202,0.01504202,0.00000000,0.00000000,0.00000000,0.00000000
14,0.41000000,11.38653791,-3.36511417,6.85570117,-0.00000000,241.29731973,60.57836897,60.57836897,0.00000000,0.00000000,0.00000000,0.00000000,0.98442324,0.01557676,0.01557676,0.00000000,0.00000000,0.00000000,0.00000000
15,0.42000000,11.62024125,-3.44335058,7.02291340,0.00000000,243.19890136,61.76403284,61.76403284,0.00000000,0.00000000,0.00000000,0.00000000,0.98388368,0.01611632,0.01611632,0.00000000,0.00000000,0.00000000,0.00000000
16,0.43000000,11.85245718,-3.52137004,7.19012562,0.00000000,245.06872836,62.94336481,62.94336481,0.00000000,0.00000000,0.00000000,0.00000000,0.98333944,0.01666056,0.01666056,0.00000000,0.00000000,0.00000000,0.00000000
17,0.44000000,12.08321242,-3.59917123,7.35733784,0.00000000,246.90799788,64.11646828,64.11646828,0.00000000,0.00000000,0.00000000,0.00000000,0.98279066,0.01720934,0.01720934,0.00000000,0.00000000,0.00000000,0.00000000
18,0.45000000,12.31253287,-3.67675289,7.52455007,-0.00000000,248.71783570,65.28344140,65.28344140,0.00000000,0.00000000,0.00000000,0.00000000,0.98223747,0.01776253,0.01776253,0.00000000,0.00000000,0.00000000,0.00000000
19,0.46000000,12.54044362,-3.75411382,7.69176229,-0.00000000,250.49930201,66.44437748,66.44437748,0.00000000,0.00000000,0.00000000,0.00000000,0.98168002,0.01831998,0.01831998,0.00000000,0.00000000,0.00000000,0.00000000
20,0.47000000,12.76696898,-3.83125292,7.85897451,0.00000000,252.25339659,67.59936540,67.59936540,0.00000000,0.00000000,0.00000000,0.00000000,0.98111842,0.01888158,0.01888158,0.00000000,0.00000000,0.00000000,0.00000000
21,0.48000000,12.99213256,-3.90816913,8.02618674,0.00000000,253.98106350,68.74848992,68.74848992,0.00000000,0.00000000,0.00000000,0.00000000,0.98055283,0.01944717,0.01944717,0.00000000,0.00000000,0.00000000,0.00000000
22,0.49000000,13.21595724,-3.98486147,8.19339896,-0.00000000,255.68319530,69.89183207,69.89183207,0.00000000,0.00000000,0.00000000,0.00000000,0.97998335,0.02001665,0.02001665,0.00000000,0.00000000,0.00000000,0.00000000
23,0.50000000,13.43846525,-4.06132901,8.36061118,-0.00000000,257.36063685,71.02946937,71.02946937,0.00000000,0.00000000,0.00000000,0.00000000,0.97941011,0.02058989,0.02058989,0.00000000,0.00000000,0.00000000,0.00000000
24,0.51000000,13.65967817,-4.13757089,8.52782341,0.00000000,259.01418881,72.16147612,72.16147612,0.00000000,0.00000000,0.00000000,0.00000000,0.97883325,0.02116675,0.02116675,0.00000000,0.00000000,0.00000000,0.00000000
25,0.52000000,13.87961695,-4.21358633,8.69503563,0.00000000,260.64461077,73.28792365,73.28792365,0.00000000,0.00000000,0.00000000,0.00000000,0.97825286,0.02174714,0.02174714,0.00000000,0.00000000,0.00000000,0.00000000
26,0.53000000,14.09830195,-4.28937458,8.86224786,0.00000000,262.25262412,74.40888050,74.40888050,0.00000000,0.00000000,0.00000000,0.00000000,0.97766908,0.02233092,0.02233092,0.00000000,0.00000000,0.00000000,0.00000000
27,0.54000000,14.31575296,-4.36493495,9.02946008,0.00000000,263.83891468,75.52441266,75.52441266,0.00000000,0.00000000,0.00000000,0.00000000,0.97708201,0.02291799,0.02291799,0.00000000,0.00000000,0.00000000,0.00000000
28,0.55000000,14.53198921,-4.44026683,9.19667230,0.00000000,265.40413511,76.63458371,76.63458371,0.00000000,0.00000000,0.00000000,0.00000000,0.97649177,0.02350823,0.02350823,0.00000000,0.00000000,0.00000000,0.00000000
29,0.56000000,14.74702942,-4.51536964,9.36388453,0.00000000,266.94890706,77.73945502,77.73945502,0.00000000,0.00000000,0.00000000,0.00000000,0.97589847,0.02410153,0.02410153,0.00000000,0.00000000,0.00000000,0.00000000
30,0.57000000,14.96089178,-4.59024287,9.53109675,-0.00000000,268.47382320,78.83908586,78.83908586,0.00000000,0.00000000,0.00000000,0.00000000,0.97530221,0.02469779,0.02469779,0.00000000,0.00000000,0.00000000,0.00000000
31,0.58000000,15.17359401,-4.66488605,9.69830897,0.00000000,269.97944911,79.93353357,79.93353357,0.00000000,0.00000000,0.00000000,0.00000000,0.97470310,0.02529690,0.02529690,0.00000000,0.00000000,0.00000000,0.00000000
32,0.59000000,15.38515334,-4.73929876,9.86552120,-0.00000000,271.46632490,81.02285369,81.02285369,0.00000000,0.00000000,0.00000000,0.00000000,0.97410125,0.02589875,0.02589875,0.00000000,0.00000000,0.00000000,0.00000000
33,0.60000000,15.59558655,-4.81348065,10.03273342,0.00000000,272.93496684,82.10710004,82.10710004,0.00000000,0.00000000,0.00000000,0.00000000,0.97349675,0.02650325,0.02650325,0.00000000,0.00000000,0.00000000,0.00000000
34,0.61000000,15.80490998,-4.88743138,10.19994565,0.00000000,274.38586876,83.18632487,83.18632487,0.00000000,0.00000000,0.00000000,0.00000000,0.97288971,0.02711029,0.02711029,0.00000000,0.00000000,0.00000000,0.00000000
35,0.62000000,16.01313956,-4.96115069,10.36715787,-0.00000000,275.81950342,84.26057892,84.26057892,0.00000000,0.00000000,0.00000000,0.00000000,0.97228022,0.02771978,0.02771978,0.00000000,0.00000000,0.00000000,0.00000000
36,0.63000000,16.22029079,-5.03463835,10.53437009,-0.00000000,277.23632372,85.32991153,85.32991153,0.00000000,0.00000000,0.00000000,0.00000000,0.97166837,0.02833163,0.02833163,0.00000000,0.00000000,0.00000000,0.00000000
37,0.64000000,16.42637880,-5.10789417,10.70158232,-0.00000000,278.63676387,86.39437074,86.39437074,0.00000000,0.00000000,0.00000000,0.00000000,0.97105426,0.02894574,0.02894574,0.00000000,0.00000000,0.00000000,0.00000000
38,0.65000000,16.63141832,-5.18091801,10.86879454,-0.00000000,280.02124041,87.45400333,87.45400333,0.00000000,0.00000000,0.00000000,0.00000000,0.97043799,0.02956201,0.02956201,0.00000000,0.00000000,0.00000000,0.00000000
39,0.66000000,16.83542372,-5.25370977,11.03600676,-0.00000000,281.39015322,88.50885490,88.50885490,0.00000000,0.00000000,0.00000000,0.00000000,0.96981964,0.03018036,0.03018036,0.00000000,0.00000000,0.00000000,0.00000000
40,0.67000000,17.03840901,-5.32626938,11.20321899,0.00000000,282.74388644,89.55896997,89.55896997,0.00000000,0.00000000,0.00000000,0.00000000,0.96919929,0.03080071,0.03080071,0.00000000,0.00000000,0.00000000,0.00000000
41,0.68000000,17.24038788,-5.39859683,11.37043121,-0.00000000,284.08280932,90.60439201,90.60439201,0.00000000,0.00000000,0.00000000,0.00000000,0.96857704,0.03142296,0.03142296,0.00000000,0.00000000,0.00000000,0.00000000
42,0.69000000,17.44137365,-5.47069213,11.53764344,0.00000000,285.40727700,91.64516348,91.64516348,0.00000000,0.00000000,0.00000000,0.00000000,0.96795297,0.03204703,0.03204703,0.00000000,0.00000000,0.00000000,0.00000000
43,0.70000000,17.64137935,-5.54255533,11.70485566,-0.00000000,286.71763124,92.68132593,92.68132593,0.00000000,0.00000000,0.00000000,0.00000000,0.96732716,0.03267284,0.03267284,0.00000000,0.00000000,0.00000000,0.00000000
44,0.71000000,17.84041769,-5.61418651,11.87206788,-0.00000000,288.01420117,93.71292002,93.71292002,0.00000000,0.00000000,0.00000000,0.00000000,0.96669969,0.03330031,0.03330031,0.00000000,0.00000000,0.00000000,0.00000000
45,0.72000000,18.03850108,-5.68558580,12.03928011,0.00000000,289.29730386,94.73998555,94.73998555,0.00000000,0.00000000,0.00000000,0.00000000,0.96607064,0.03392936,0.03392936,0.00000000,0.00000000,0.00000000,0.00000000
46,0.73000000,18.23564164,-5.75675335,12.20649233,0.00000000,290.56724498,95.76256153,95.76256153,0.00000000,0.00000000,0.00000000,0.00000000,0.96544009,0.03455991,0.03455991,0.00000000,0.00000000,0.00000000,0.00000000
47,0.74000000,18.43185119,-5.82768934,12.37370455,0.00000000,291.82431933,96.78068622,96.78068622,0.00000000,0.00000000,0.00000000,0.00000000,0.96480811,0.03519189,0.03519189,0.00000000,0.00000000,0.00000000,0.00000000
48,0.75000000,18.62714132,-5.89839399,12.54091678,0.00000000,293.06881141,97.79439715,97.79439715,0.00000000,0.00000000,0.00000000,0.00000000,0.96417478,0.03582522,0.03582522,0.00000000,0.00000000,0.00000000,0.00000000
49,0.76000000,18.82152332,-5.96886755,12.70812900,0.00000000,294.30099586,98.80373113,98.80373113,0.00000000,0.00000000,0.00000000,0.00000000,0.96354017,0.03645983,0.03645983,0.00000000,0.00000000,0.00000000,0.00000000
50,0.77000000,19.01500823,-6.03911029,12.87534122,0.00000000,295.52113799,99.80872436,99.80872436,0.00000000,0.00000000,0.00000000,0.00000000,0.96290435,0.03709565,0.03709565,0.00000000,0.00000000,0.00000000,0.00000000
51,0.78000000,19.20760686,-6.10912252,13.04255345,-0.00000000,296.72949418,100.80941237,100.80941237,0.00000000,0.00000000,0.00000000,0.00000000,0.96226739,0.03773261,0.03773261,0.00000000,0.00000000,0.00000000,0.00000000
52,0.79000000,19.39932975,-6.17890456,13.20976567,-0.00000000,297.92631230,101.80583010,101.80583010,0.00000000,0.00000000,0.00000000,0.00000000,0.96162936,0.03837064,0.03837064,0.00000000,0.00000000,0.00000000,0.00000000
53,0.80000000,19.59018723,-6.24845677,13.37697790,0.00000000,299.11183211,102.79801192,102.79801192,0.00000000,0.00000000,0.00000000,0.00000000,0.96099032,0.03900968,0.03900968,0.00000000,0.00000000,0.00000000,0.00000000
54,0.81000000,19.78018940,-6.31777954,13.54419012,-0.00000000,300.28628561,103.78599163,103.78599163,0.00000000,0.00000000,0.00000000,0.00000000,0.96035034,0.03964966,0.03964966,0.00000000,0.00000000,0.00000000,0.00000000
55,0.82000000,19.96934612,-6.38687328,13.71140234,0.00000000,301.44989739,104.76980252,104.76980252,0.00000000,0.00000000,0.00000000,0.00000000,0.95970949,0.04029051,0.04029051,0.00000000,0.00000000,0.00000000,0.00000000
56,0.83000000,20.15766708,-6.45573841,13.87861457,0.00000000,302.60288496,105.74947734,105.74947734,0.00000000,0.00000000,0.00000000,0.00000000,0.95906783,0.04093217,0.04093217,0.00000000,0.00000000,0.00000000,0.00000000
57,0.84000000,20.34525101,-6.52314950,14.04582679,-0.00000000,303.73635950,106.79870222,106.70100316,14.94796556,0.00000000,0.00000000,0.00000000,0.95833927,0.04166073,0.04154650,0.00011423,0.00000000,0.00000000,0.00000000
58,0.85000000,20.53207258,-6.58959743,14.21303901,0.00000000,304.85433966,107.88440788,107.63425601,20.57840290,0.00000000,0.00000000,0.00000000,0.95756098,0.04243902,0.04214449,0.00029453,0.00000000,0.00000000,0.00000000
59,0.86000000,20.71812491,-6.65530902,14.38025124,-0.00000000,305.95879283,108.99115688,108.55382688,24.94535887,0.00000000,0.00000000,0.00000000,0.95675025,0.04324975,0.04273121,0.00051854,0.00000000,0.00000000,0.00000000
60,0.87000000,20.90340963,-6.72038935,14.54746346,-0.00000000,307.05074416,110.11154034,109.46187569,28.63982944,0.00000000,0.00000000,0.00000000,0.95591534,0.04408466,0.04330895,0.00077571,0.00000000,0.00000000,0.00000000
61,0.88000000,21.08793121,-6.78490069,14.71467569,0.00000000,308.13087966,111.24107451,110.35970049,31.89986039,0.00000000,0.00000000,0.00000000,0.95506124,0.04493876,0.04387904,0.00105972,0.00000000,0.00000000,0.00000000
62,0.89000000,21.27169529,-6.84888569,14.88188791,-0.00000000,309.19972497,112.37667382,111.24820118,34.84967526,0.00000000,0.00000000,0.00000000,0.95419143,0.04580857,0.04444237,0.00136620,0.00000000,0.00000000,0.00000000
63,0.90000000,21.45470811,-6.91237612,15.04910013,0.00000000,310.25771276,113.51606532,112.12805322,37.56378468,0.00000000,0.00000000,0.00000000,0.95330851,0.04669149,0.04499959,0.00169190,0.00000000,0.00000000,0.00000000
64,0.91000000,21.63697621,-6.97539688,15.21631236,0.00000000,311.30521492,114.65750331,112.99979023,40.09102383,0.00000000,0.00000000,0.00000000,0.95241454,0.04758546,0.04555119,0.00203427,0.00000000,0.00000000,0.00000000
65,0.92000000,21.81850629,-7.03796828,15.38352458,0.00000000,312.34256041,115.79960947,113.86384913,42.46544170,0.00000000,0.00000000,0.00000000,0.95151117,0.04848883,0.04609756,0.00239126,0.00000000,0.00000000,0.00000000
66,0.93000000,21.99930508,-7.10010736,15.55073680,0.00000000,313.37004601,116.94127424,114.72059732,44.71188936,0.00000000,0.00000000,0.00000000,0.95059980,0.04940020,0.04663903,0.00276118,0.00000000,0.00000000,0.00000000
67,0.94000000,22.17937934,-7.16182873,15.71794903,-0.00000000,314.38794341,118.08159197,115.57035012,46.84915610,0.00000000,0.00000000,0.00000000,0.94968158,0.05031842,0.04717584,0.00314258,0.00000000,0.00000000,0.00000000
